CameraMaker,CameraModel,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Nikon,Coolpix P90,6.08,4.56,4011,3016
Nikon,Coolpix S01,4.96,3.72,3665,2756
Nikon,Coolpix S02,4.8,3.6,4190,3150
Nikon,Coolpix S1,5.75,4.32,2579,1939
Nikon,Coolpix S10,5.75,4.32,2825,2124
Nikon,Coolpix S100,6.16,4.62,4612,3468
Nikon,Coolpix S1000pj,6.16,4.62,4011,3016
Nikon,Coolpix S1100pj,6.16,4.62,4330,3256
Nikon,Coolpix S1200pj,6.16,4.62,4330,3256
Nikon,Coolpix S2,5.75,4.32,2604,1958
Nikon,Coolpix S200,5.75,4.32,3072,2310
Nikon,Coolpix S210,5.75,4.32,3262,2453
Nikon,Coolpix S220,6.08,4.56,3647,2742
Nikon,Coolpix S225,6.08,4.56,3708,2788
Nikon,Coolpix S230,6.08,4.56,3647,2742
Nikon,Coolpix S2500,6.16,4.62,4059,3052
Nikon,Coolpix S2600,6.16,4.62,4389,3300
Nikon,Coolpix S2700,6.16,4.62,4612,3468
Nikon,Coolpix S2750,6.16,4.62,4612,3468
Nikon,Coolpix S2800,6.16,4.62,5171,3888
Nikon,Coolpix S3,5.75,4.32,2825,2124
Nikon,Coolpix S30,4.8,3.6,3647,2742
Nikon,Coolpix S3000,6.16,4.62,3995,3004
Nikon,Coolpix S31,4.96,3.72,3665,2756
Nikon,Coolpix S3100,6.16,4.62,4330,3256
Nikon,Coolpix S32,4.8,3.6,4190,3150
Nikon,Coolpix S3200,6.16,4.62,4612,3468
Nikon,Coolpix S3300,6.16,4.62,4612,3468
Nikon,Coolpix S3400,6.16,4.62,5171,3888
Nikon,Coolpix S3500,6.16,4.62,5171,3888
Nikon,Coolpix S3600,6.16,4.62,5171,3888
Nikon,Coolpix S4,5.75,4.32,2825,2124
Nikon,Coolpix S4000,6.16,4.62,3995,3004
Nikon,Coolpix S4100,6.16,4.62,4330,3256
Nikon,Coolpix S4150,6.16,4.62,4315,3244
Nikon,Coolpix S4200,6.16,4.62,4612,3468
Nikon,Coolpix S4300,6.16,4.62,4612,3468
Nikon,Coolpix S4400,6.16,4.62,5171,3888
Nikon,Coolpix S5,5.75,4.32,2825,2124
Nikon,Coolpix S50,5.75,4.32,3072,2310
Nikon,Coolpix S500,5.75,4.32,3072,2310
Nikon,Coolpix S50c,5.75,4.32,3072,2310
Nikon,Coolpix S51,5.75,4.32,3262,2453
Nikon,Coolpix S510,5.75,4.32,3282,2468
Nikon,Coolpix S5100,6.16,4.62,3995,3004
Nikon,Coolpix S51c,5.75,4.32,3262,2453
Nikon,Coolpix S52,5.75,4.32,3459,2601
Nikon,Coolpix S520,5.75,4.32,3262,2453
Nikon,Coolpix S5200,6.16,4.62,4612,3468
Nikon,Coolpix S52c,5.75,4.32,3459,2601
Nikon,Coolpix S5300,6.16,4.62,4612,3468
Nikon,Coolpix S550,6.16,4.62,3647,2742
Nikon,Coolpix S560,6.08,4.56,3647,2742
Nikon,Coolpix S570,6.16,4.62,3995,3004
Nikon,Coolpix S6,5.75,4.32,2825,2124
Nikon,Coolpix S60,6.16,4.62,3647,2742
Nikon,Coolpix S600,6.08,4.56,3647,2742
Nikon,Coolpix S6000,6.16,4.62,4346,3268
Nikon,Coolpix S610,6.08,4.56,3647,2742
Nikon,Coolpix S6100,6.16,4.62,4612,3468
Nikon,Coolpix S610c,6.08,4.56,3647,2742
Nikon,Coolpix S6150,6.16,4.62,4612,3468
Nikon,Coolpix S620,6.08,4.56,4029,3029
Nikon,Coolpix S6200,6.16,4.62,4612,3468
Nikon,Coolpix S630,6.08,4.56,3995,3004
Nikon,Coolpix S6300,6.16,4.62,4612,3468
Nikon,Coolpix S640,6.08,4.56,4029,3029
Nikon,Coolpix S6400,6.16,4.62,4612,3468
Nikon,Coolpix S6500,6.16,4.62,4612,3468
Nikon,Coolpix S6600,6.16,4.62,4612,3468
Nikon,Coolpix S6700,6.16,4.62,5171,3888
Nikon,Coolpix S6800,6.16,4.62,4612,3468
Nikon,Coolpix S6900,6.16,4.62,4612,3468
Nikon,Coolpix S70,6.16,4.62,4011,3016
Nikon,Coolpix S700,7.44,5.58,4011,3016
Nikon,Coolpix S710,7.44,5.58,4392,3302
Nikon,Coolpix S7c,5.75,4.32,3072,2310
Nikon,Coolpix S80,6.16,4.62,4330,3256
Nikon,Coolpix S8000,6.16,4.62,4346,3268
Nikon,Coolpix S800c,6.16,4.62,4612,3468
Nikon,Coolpix S8100,6.16,4.62,4011,3016
Nikon,Coolpix S810c,6.16,4.62,4612,3468
Nikon,Coolpix S8200,6.16,4.62,4612,3468
Nikon,Coolpix S9,5.75,4.32,2825,2124
Nikon,Coolpix S9050,6.16,4.62,4011,3016
Nikon,Coolpix S9100,6.16,4.62,3995,3004
Nikon,Coolpix S9200,6.16,4.62,4612,3468
Nikon,Coolpix S9300,6.16,4.62,4612,3468
Nikon,Coolpix S9400,6.16,4.62,4906,3689
Nikon,Coolpix S9500,6.16,4.62,4906,3689
Nikon,Coolpix S9600,6.16,4.62,4612,3468
Nikon,Coolpix S9700,6.16,4.62,4612,3468
Nikon,Coolpix SQ,5.33,4,2031,1527
Nikon,D1,23.7,15.5,1995,1304
Nikon,D100,23.7,15.5,3029,1980
Nikon,D1H,23.7,15.5,1995,1304
Nikon,D1X,23.7,15.5,2847,1861
Nikon,D200,23.6,15.8,3898,2616
Nikon,D2H,23.7,15.5,2474,1617
Nikon,D2Hs,23.2,15.4,2488,1648
Nikon,D2X,23.7,15.7,4291,2842
Nikon,D2xs,23.7,15.7,4328,2866
Nikon,D3,36,23.9,4275,2831
Nikon,D300,23.6,15.8,4281,2873
Nikon,D3000,23.6,15.8,3898,2616
Nikon,D300s,23.6,15.8,4281,2873
Nikon,D3100,23.1,15.4,4616,3077
Nikon,D3200,23.2,15.4,6045,4003
Nikon,D3300,23.5,15.6,6045,4003
Nikon,D3s,36,23.9,4275,2831
Nikon,D3X,35.9,24,6062,4041
Nikon,D4,36,23.9,4945,3275
Nikon,D40,23.7,15.6,3045,2003
Nikon,D40x,23.6,15.8,3898,2616
Nikon,D4s,36,23.9,4945,3275
Nikon,D50,23.7,15.6,3045,2003
Nikon,D5000,23.6,15.8,4281,2873
Nikon,D5100,23.6,15.6,4945,3275
Nikon,D5200,23.5,15.6,6032,3995
Nikon,D5300,23.5,15.6,6045,4003
Nikon,D60,23.6,15.8,3898,2616
Nikon,D600,35.9,24,6038,4025
Nikon,D610,35.9,24,6038,4025
Nikon,D70,23.7,15.6,3045,2003
Nikon,D700,36,23.9,4275,2831
Nikon,D7000,23.6,15.6,4945,3275
Nikon,D70s,23.7,15.6,3045,2003
Nikon,D7100,23.5,15.6,6032,3995
Nikon,D750,35.9,24,6038,4025
Nikon,D80,23.6,15.8,3898,2616
Nikon,D800,35.9,24,7379,4919
Nikon,D800E,35.9,24,7379,4919
Nikon,D810,35.9,24,7379,4919
Nikon,D90,23.6,15.8,4281,2873
Nikon,Df,36,23.9,4945,3275
Nikon,E2n,8.8,6.6,1365,1026
Nikon,E2Ns,8.8,6.6,1365,1026
Nikon,E2s,8.8,6.6,1365,1026
Nikon,E3,8.8,6.6,1365,1026
Nikon,E3s,8.8,6.6,1365,1026
Nokia,808 PureView,10.82,7.52,7728,5367
Nokia,Lumia 1020,8.64,6,7714,5357
Olympus,,3.2,2.4,1315,989
Olympus,E-300 / EVOLT E-300,17.3,13,3262,2453
Olympus,AZ-1,5.33,4,2063,1551
Olympus,AZ-1 Ferrari 2004,5.33,4,2063,1551
Olympus,AZ-2 Zoom,5.33,4,2371,1783
Olympus,C-1,4.5,3.37,1268,946
Olympus,C-1 Zoom,4.5,3.37,1320,985
Olympus,C-100,4.5,3.37,1320,985
Olympus,C-1000L,6.4,4.8,1063,799
Olympus,C-120,4.5,3.37,1682,1255
Olympus,C-1400L,8.8,6.6,1365,1026
Olympus,C-1400XL,8.8,6.6,1365,1026
Olympus,C-150,4.5,3.37,1637,1222
Olympus,C-160,5.33,4,2095,1575
Olympus,C-170,5.75,4.32,2306,1734
Olympus,C-180,5.75,4.32,2604,1958
Olympus,C-2,5.33,4,1589,1195
Olympus,C-200 Zoom,5.33,4,1676,1260
Olympus,C-2000 Zoom,6.4,4.8,1589,1195
Olympus,C-2020 Zoom,6.4,4.8,1589,1195
Olympus,C-2040 Zoom,6.4,4.8,1589,1195
Olympus,C-21,6.4,4.8,1589,1195
Olympus,C-2100 UZ,6.4,4.8,1589,1195
Olympus,C-220 Zoom,4.5,3.37,1682,1255
Olympus,C-2500 L,8.8,6.6,1749,1315
Olympus,C-300 Zoom,5.75,4.32,1998,1502
Olympus,C-3000 Zoom,7.11,5.33,2031,1527
Olympus,C-3020 Zoom,7.11,5.33,2031,1527
Olympus,C-3030 Zoom,7.11,5.33,2031,1527
Olympus,C-3040 Zoom,7.11,5.33,2031,1527
Olympus,C-310 Zoom,5.33,4,2127,1599
Olympus,C-315 Zoom,5.75,4.32,2671,2008
Olympus,C-350 Zoom,5.75,4.32,2108,1585
Olympus,C-360 Zoom,5.75,4.32,2095,1575
Olympus,C-370 Zoom,5.33,4,2108,1585
Olympus,C-40 Zoom,7.11,5.33,2343,1762
Olympus,C-4000 Zoom,7.11,5.33,2277,1712
Olympus,C-4040 Zoom,7.11,5.33,2277,1712
Olympus,C-450 Zoom,5.75,4.32,2306,1734
Olympus,C-460 Zoom del Sol,5.75,4.32,2371,1783
Olympus,C-470 Zoom,5.75,4.32,2371,1783
Olympus,C-480 Zoom,5.75,4.32,2324,1747
Olympus,C-50 Zoom,7.11,5.33,2552,1919
Olympus,C-5000 Zoom,7.27,5.46,2552,1919
Olympus,C-5050 Zoom,7.11,5.33,2552,1919
Olympus,C-5060 Wide Zoom,7.11,5.33,2579,1939
Olympus,C-55 Zoom,7.11,5.33,2655,1996
Olympus,C-5500 Sport Zoom,7.11,5.33,2579,1939
Olympus,C-60 Zoom,7.27,5.46,2801,2106
Olympus,C-70 Zoom,7.11,5.33,3137,2359
Olympus,C-700 UZ,5.33,4,1589,1195
Olympus,C-7000 Zoom,7.11,5.33,3072,2310
Olympus,C-7070 Wide Zoom,7.11,5.33,3072,2310
Olympus,C-720 UZ,5.75,4.32,1998,1502
Olympus,C-730 UZ,5.33,4,1998,1502
Olympus,C-740 UZ,5.75,4.32,2031,1527
Olympus,C-750 UZ,5.33,4,2277,1712
Olympus,C-760 UZ,5.33,4,2063,1551
Olympus,C-765 UZ,5.75,4.32,2277,1712
Olympus,C-770 UZ,5.75,4.32,2277,1712
Olympus,C-8080 Wide Zoom,8.8,6.6,3262,2453
Olympus,C-820L,4.8,3.6,1037,780
Olympus,C-840L,5.33,4,1319,992
Olympus,C-860L,5.33,4,1319,992
Olympus,C-900 Zoom,5.33,4,1319,992
Olympus,C-920 Zoom,5.33,4,1319,992
Olympus,C-960 Zoom,5.33,4,1319,992
Olympus,C-990 Zoom,5.33,4,1672,1257
Olympus,D-150Z,4.5,3.37,1268,946
Olympus,D-200L,8.8,6.6,632,475
Olympus,D-300L,8.8,6.6,1032,776
Olympus,D-340L,8.8,6.6,1264,950
Olympus,D-340R,6.4,4.8,1264,950
Olympus,D-360L,7.11,5.33,1264,950
Olympus,D-370,4.5,3.37,1268,946
Olympus,D-380,4.5,3.37,1596,1191
Olympus,D-390,4.5,3.37,1596,1191
Olympus,D-395,5.33,4,2031,1527
Olympus,D-40 Zoom,7.11,5.33,2277,1712
Olympus,D-400 Zoom,6.4,4.8,1264,950
Olympus,D-425,5.75,4.32,2277,1712
Olympus,D-435,5.75,4.32,2604,1958
Olympus,D-450 Zoom,5.33,4,1264,950
Olympus,D-460 Zoom,7.11,5.33,1264,950
Olympus,D-490 Zoom,5.33,4,1589,1195
Olympus,D-500L,8.8,6.6,1032,776
Olympus,D-510 Zoom,5.33,4,1589,1195
Olympus,D-520 Zoom,4.5,3.37,1596,1191
Olympus,D-535 Zoom,5.33,4,2031,1527
Olympus,D-540 Zoom,5.33,4,2031,1527
Olympus,D-545 Zoom,5.75,4.32,2277,1712
Olympus,D-560 Zoom,5.75,4.32,2031,1527
Olympus,D-580 Zoom,5.33,4,2277,1712
Olympus,D-595 Zoom,5.75,4.32,2552,1919
Olympus,D-600L,8.8,6.6,1315,989
Olympus,D-620L,8.8,6.6,1315,989
Olympus,D-630 Zoom,5.75,4.32,2552,1919
Olympus,E-1,17.3,13,2552,1919
Olympus,E-10,8.8,6.6,2218,1668
Olympus,E-100 RS,6.4,4.8,1315,989
Olympus,E-20,8.8,6.6,2552,1919
Olympus,E-3,17.3,13,3665,2756
Olympus,E-30,17.3,13,4045,3041
Olympus,E-300 / EVOLT E-300,17.3,,,
Olympus,E-400,17.3,13,3647,2742
Olympus,E-410 / EVOLT E-410,17.3,13,3647,2742
Olympus,E-420,17.3,13,3647,2742
Olympus,E-450,17.3,13,3647,2742
Olympus,E-5,17.3,13,4045,3041
Olympus,E-500 / EVOLT E-500,17.3,13,3262,2453
Olympus,E-510 / EVOLT E-510,17.3,13,3647,2742
Olympus,E-520,17.3,13,3647,2742
Olympus,E-600,17.3,13,4045,3041
Olympus,E-620,17.3,13,4045,3041
Olympus,FE-100,5.75,4.32,2306,1734
Olympus,FE-110,5.75,4.32,2579,1939
Olympus,FE-115,5.75,4.32,2579,1939
Olympus,FE-120,5.75,4.32,2825,2124
Olympus,FE-130,5.75,4.32,2579,1939
Olympus,FE-140,5.75,4.32,2825,2124
Olympus,FE-150,5.75,4.32,2579,1939
Olympus,FE-160,5.75,4.32,2871,2159
Olympus,FE-170,5.75,4.32,2825,2124
Olympus,FE-180,5.75,4.32,2825,2124
Olympus,FE-190,5.75,4.32,2825,2124
Olympus,FE-20,6.03,4.52,3262,2453
Olympus,FE-200,5.75,4.32,2825,2124
Olympus,FE-210,5.75,4.32,3072,2310
Olympus,FE-220,5.75,4.32,3137,2359
Olympus,FE-230,5.75,4.32,3072,2310
Olympus,FE-240,5.75,4.32,3072,2310
Olympus,FE-25,6.08,4.56,3647,2742
Olympus,FE-250,7.11,5.33,3262,2453
Olympus,FE-26,6.08,4.56,4110,3090
Olympus,FE-270,5.75,4.32,3072,2310
Olympus,FE-280,6.16,4.62,3262,2453
Olympus,FE-290,5.75,4.32,3072,2310
Olympus,FE-300,7.44,5.58,3995,3004
Olympus,FE-3000,6.08,4.56,3647,2742
Olympus,FE-3010,6.08,4.56,3995,3004
Olympus,FE-310,5.75,4.32,3262,2453
Olympus,FE-340,6.03,4.52,3262,2453
Olympus,FE-350,5.75,4.32,3262,2453
Olympus,FE-360,6.03,4.52,3262,2453
Olympus,FE-370,6.03,4.52,3262,2453
Olympus,FE-4000,6.16,4.62,3995,3004
Olympus,FE-4010,6.16,4.62,3995,3004
Olympus,FE-4020,6.16,4.62,4315,3244
Olympus,FE-4030,6.08,4.56,4315,3244
Olympus,FE-4040,6.08,4.56,4315,3244
Olympus,FE-4050,6.16,4.62,4029,3029
Olympus,FE-45,6.08,4.56,3647,2742
Olympus,FE-47,6.08,4.56,4315,3244
Olympus,FE-48,6.16,4.62,3995,3004
Olympus,FE-5000,6.08,4.56,3647,2742
Olympus,FE-5010,6.08,4.56,3995,3004
Olympus,FE-5020,6.16,4.62,3995,3004
Olympus,FE-5030,6.08,4.56,3995,3004
Olympus,FE-5035,6.08,4.56,3995,3004
Olympus,FE-5040,6.16,4.62,3995,3004
Olympus,FE-5050,6.16,4.62,4315,3244
Olympus,IR 500,5.33,4,2306,1734
Olympus,IR-300,5.75,4.32,2552,1919
Olympus,m:robe MR 500i,3.2,2.4,1315,989
Olympus,Mju 1060,6.08,4.56,3665,2756
Olympus,mju 400 Digital Ferrari,5.75,4.32,2306,1734
Olympus,Mju 5000,6.08,4.56,4110,3090
Olympus,Mju 7050,6.16,4.62,4315,3244
Olympus,mju 800 black,7.11,5.33,3322,2498
Olympus,mju mini Digital,5.75,4.32,2371,1783
Olympus,mju mini Digital S,5.75,4.32,2680,2015
Olympus,OM-D E-M1,17.3,13,4656,3501
Olympus,OM-D E-M10,17.3,13,4627,3479
Olympus,OM-D E-M5,17.3,13,4627,3479
Olympus,PEN E-P1,17.3,13,4045,3041
Olympus,PEN E-P2,17.3,13,4045,3041
Olympus,PEN E-P3,17.3,13,4045,3041
Olympus,PEN E-P5,17.3,13,4627,3479
Olympus,PEN E-PL1,17.3,13,4045,3041
Olympus,PEN E-PL1s,17.3,13,4045,3041
Olympus,PEN E-PL2,17.3,13,4045,3041
Olympus,PEN E-PL3,17.3,13,4045,3041
Olympus,PEN E-PL5,17.3,13,4627,3479
Olympus,PEN E-PL6,17.3,13,4627,3479
Olympus,PEN E-PL7,17.3,13,4627,3479
Olympus,PEN E-PM1,17.3,13,4045,3041
Olympus,PEN E-PM2,17.3,13,4627,3479
Olympus,SH-21,6.16,4.62,4612,3468
Olympus,SH-25MR,6.16,4.62,4727,3554
Olympus,SH-50 iHS,6.16,4.62,4612,3468
Olympus,SP 310,7.11,5.33,3139,2360
Olympus,SP 320,7.11,5.33,3139,2360
Olympus,SP 350,7.11,5.33,3262,2453
Olympus,SP 500 UZ,5.75,4.32,2910,2188
Olympus,SP 510 UZ,5.75,4.32,3072,2310
Olympus,SP 550 UZ,5.75,4.32,3137,2359
Olympus,SP 560 UZ,6.16,4.62,3362,2528
Olympus,SP 570 UZ,6.08,4.56,3772,2836
Olympus,SP 590 UZ,6.08,4.56,4110,3090
Olympus,SP 600 UZ,6.08,4.56,4078,3066
Olympus,SP 700,5.75,4.32,2867,2156
Olympus,SP 800 UZ,6.08,4.56,4422,3325
Olympus,SP 810 UZ,6.16,4.62,4315,3244
Olympus,SP-100,6.16,4.62,4612,3468
Olympus,SP-565UZ,6.08,4.56,3647,2742
Olympus,SP-610UZ,6.16,4.62,4315,3244
Olympus,SP-620 UZ,6.16,4.62,4612,3468
Olympus,SP-720UZ,6.16,4.62,4376,3290
Olympus,Stylus 1,7.53,5.64,4011,2993
Olympus,Stylus 1000,7.11,5.33,3647,2742
Olympus,Stylus 1010,6.08,4.56,3665,2756
Olympus,Stylus 1020,6.08,4.56,3665,2756
Olympus,Stylus 1030 SW,6.08,4.56,3665,2756
Olympus,Stylus 1040,6.08,4.56,3665,2756
Olympus,Stylus 1050 SW,6.08,4.56,3665,2756
Olympus,Stylus 1200,7.44,5.58,3995,3004
Olympus,Stylus 300,5.75,4.32,2031,1527
Olympus,Stylus 400,5.75,4.32,2277,1712
Olympus,Stylus 410,5.75,4.32,2277,1712
Olympus,Stylus 500,5.75,4.32,2552,1919
Olympus,Stylus 5010,6.08,4.56,4315,3244
Olympus,Stylus 550WP,6.08,4.56,3647,2742
Olympus,Stylus 600,5.75,4.32,2825,2124
Olympus,Stylus 700,6.16,4.62,3072,2310
Olympus,Stylus 7000,6.08,4.56,3995,3004
Olympus,Stylus 7010,6.08,4.56,3995,3004
Olympus,Stylus 7030,6.08,4.56,4315,3244
Olympus,Stylus 7040,6.08,4.56,4315,3244
Olympus,Stylus 720 SW,6.16,4.62,3072,2310
Olympus,Stylus 725 SW,6.16,4.62,3072,2310
Olympus,Stylus 730,6.16,4.62,3072,2310
Olympus,Stylus 740,6.16,4.62,3072,2310
Olympus,Stylus 750,6.16,4.62,3072,2310
Olympus,Stylus 760,6.16,4.62,3072,2310
Olympus,Stylus 770 SW,6.16,4.62,3072,2310
Olympus,Stylus 780,6.16,4.62,3072,2310
Olympus,Stylus 790 SW,6.16,4.62,3072,2310
Olympus,Stylus 800,7.11,5.33,3262,2453
Olympus,Stylus 810,7.11,5.33,3262,2453
Olympus,Stylus 820,6.16,4.62,3262,2453
Olympus,Stylus 830,6.16,4.62,3262,2453
Olympus,Stylus 840,6.03,4.52,3262,2453
Olympus,Stylus 850 SW,6.03,4.52,3262,2453
Olympus,Stylus 9000,6.08,4.56,3995,3004
Olympus,Stylus 9010,6.08,4.56,4315,3244
Olympus,Stylus SH-1,6.16,4.62,4612,3468
Olympus,Stylus SP-820UZ,6.16,4.62,4315,3244
Olympus,Stylus Tough 6000,6.16,4.62,3647,2742
Olympus,Stylus Tough 6010,6.16,4.62,3995,3004
Olympus,Stylus Tough 6020,6.08,4.56,4110,3090
Olympus,Stylus Tough 8000,6.08,4.56,3995,3004
Olympus,Stylus Tough 8010,6.08,4.56,4110,3090
Olympus,Stylus Tough-3000,6.08,4.56,3995,3004
Olympus,Stylus Verve,5.75,4.32,2277,1712
Olympus,Stylus Verve  S,5.75,4.32,2552,1919
Olympus,Stylus Verve S,5.75,,,
Olympus,Stylus XZ-10,6.16,4.62,3995,3004
Olympus,SZ-10,6.16,4.62,4315,3244
Olympus,SZ-11,6.16,4.62,4315,3244
Olympus,SZ-12,6.16,4.62,4315,3244
Olympus,SZ-14,6.16,4.62,4392,3302
Olympus,SZ-15,6.16,4.62,4612,3468
Olympus,SZ-16,6.16,4.62,4612,3468
Olympus,SZ-20,6.16,4.62,4612,3468
Olympus,SZ-30MR,6.16,4.62,4612,3468
Olympus,SZ-31MR iHS,6.16,4.62,4612,3468
Olympus,T-10,6.16,4.62,3647,2742
Olympus,T-100,6.16,4.62,3995,3004
Olympus,T-110,6.16,4.62,3995,3004
Olympus,TG-310,6.16,4.62,4315,3244
Olympus,TG-320,6.16,4.62,4315,3244
Olympus,TG-610,6.16,4.62,4315,3244
Olympus,TG-630 iHS,6.16,4.62,3995,3004
Olympus,TG-810,6.16,4.62,4315,3244
Olympus,TG-820 iHS,6.16,4.62,3995,3004
Olympus,TG-830 iHS,6.16,4.62,4612,3468
Olympus,TG-850 iHS,6.16,4.62,4612,3468
Olympus,Tough TG-1 iHS,6.16,4.62,3995,3004
Olympus,Tough TG-2 iHS,6.16,4.62,3995,3004
Olympus,Tough TG-3,6.16,4.62,4612,3468
Olympus,Tough TG-620,6.16,4.62,4110,3090
Olympus,VG-110,6.16,4.62,3995,3004
Olympus,VG-120,6.16,4.62,4315,3244
Olympus,VG-130,6.16,4.62,4392,3302
Olympus,VG-145,6.16,4.62,4315,3244
Olympus,VG-150,6.16,4.62,4110,3090
Olympus,VG-160,6.16,4.62,4315,3244
Olympus,VG-165,6.16,4.62,4315,3244
Olympus,VG-170,6.16,4.62,4392,3302
Olympus,VG-180,6.16,4.62,4612,3468
Olympus,VG-190,6.16,4.62,4612,3468
Olympus,VH-210,6.16,4.62,4392,3302
Olympus,VH-410,6.16,4.62,4612,3468
Olympus,VH-510,6.16,4.62,3995,3004
Olympus,VH-515,6.16,4.62,3995,3004
Olympus,VH-520,6.16,4.62,4315,3244
Olympus,VR-310,6.16,4.62,4392,3302
Olympus,VR-320,6.16,4.62,4315,3244
Olympus,VR-330,6.16,4.62,4315,3244
Olympus,VR-340,6.16,4.62,4612,3468
Olympus,VR-350,6.16,4.62,4612,3468
Olympus,VR-360,6.16,4.62,4612,3468
Olympus,VR-370,6.16,4.62,4612,3468
Olympus,X-15,6.03,4.52,3362,2528
Olympus,X-775,5.75,4.32,3137,2359
Olympus,X-785,5.75,4.32,3072,2310
Olympus,X-905,6.16,4.62,3772,2836
Olympus,X-920,6.16,4.62,3995,3004
Olympus,XZ-1,7.85,5.89,3647,2742
Olympus,XZ-2 iHS,7.53,5.64,4011,2993
Panasonic,Lumix DMC-LZ20,6.08,4.56,4627,3479
Panasonic,D-snap SV-AS10,4.5,3.37,1682,1255
Panasonic,D-snap SV-AS3,4.5,3.37,2070,1545
Panasonic,D-snap SV-AS30,4.5,3.37,2070,1545
Panasonic,Lumix DMC-3D1,6.16,4.62,4011,3016
Panasonic,Lumix DMC-F1,5.75,4.32,2063,1551
Panasonic,Lumix DMC-F3,6.08,4.56,4011,3016
Panasonic,Lumix DMC-F5,6.08,4.56,4330,3256
Panasonic,Lumix DMC-F7,5.33,4,1589,1195
Panasonic,Lumix DMC-FH1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FH10,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FH2,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FH20,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FH22,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FH25,6.16,4.62,4627,3479
Panasonic,Lumix DMC-FH27,6.16,4.62,4627,3479
Panasonic,Lumix DMC-FH3,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FH4,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FH5,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FH6,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FH7,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FH8,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FP1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FP2,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FP3,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FP5,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FP7,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FP8,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FS10,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FS11,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FS12,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FS15,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FS16,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FS18,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FS2,5.75,4.32,3133,2356
Panasonic,Lumix DMC-FS20,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FS22,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FS25,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FS28,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FS3,5.75,4.32,3282,2468
Panasonic,Lumix DMC-FS30,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FS33,6.08,4.56,4315,3244
Panasonic,Lumix DMC-FS35,6.16,4.62,4627,3479
Panasonic,Lumix DMC-FS37,6.16,4.62,4699,3533
Panasonic,Lumix DMC-FS40,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FS42,5.75,4.32,3665,2756
Panasonic,Lumix DMC-FS45,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FS5,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FS6,5.75,4.32,3282,2468
Panasonic,Lumix DMC-FS62,5.75,4.32,3665,2756
Panasonic,Lumix DMC-FS7,5.75,4.32,3665,2756
Panasonic,Lumix DMC-FT1,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FT10,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FT2,6.08,4.56,4330,3256
Panasonic,Lumix DMC-FT20,6.08,4.56,4627,3479
Panasonic,Lumix DMC-FT3,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FT4,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX01,5.75,4.32,2825,2124
Panasonic,Lumix DMC-FX07,5.75,4.32,3072,2310
Panasonic,Lumix DMC-FX1,5.75,4.32,2031,1527
Panasonic,Lumix DMC-FX10,5.75,4.32,2825,2124
Panasonic,Lumix DMC-FX100,7.44,5.58,3995,3004
Panasonic,Lumix DMC-FX12,5.75,4.32,3072,2310
Panasonic,Lumix DMC-FX150,7.44,5.58,4422,3325
Panasonic,Lumix DMC-FX2,5.75,4.32,2306,1734
Panasonic,Lumix DMC-FX3,5.75,4.32,2825,2124
Panasonic,Lumix DMC-FX30,5.75,4.32,3072,2310
Panasonic,Lumix DMC-FX33,5.75,4.32,3282,2468
Panasonic,Lumix DMC-FX35,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FX37,6.08,4.56,3665,2756
Panasonic,Lumix DMC-FX40,6.08,4.56,4011,3016
Panasonic,Lumix DMC-FX48,6.08,4.56,4011,3016
